hero,region,division,pickrate,winrate,banrate
shion,americas,diamond,12.2,51.0,0.8
sierra,americas,diamond,4.6,46.3,2.8
sigma,americas,diamond,7.6,49.7,4.9
sojourn,americas,diamond,17.2,46.0,2.5
soldier-76,americas,diamond,16.7,50.3,0.3
sombra,americas,diamond,4.0,47.5,5.0
symmetra,americas,diamond,2.2,51.5,1.2
torbjorn,americas,diamond,4.0,51.2,0.3
tracer,americas,diamond,14.6,51.5,10.7
vendetta,americas,diamond,2.9,52.0,1.0
venture,americas,diamond,2.3,52.3,0.4
widowmaker,americas,diamond,5.2,51.6,9.6
winston,americas,diamond,6.7,48.5,2.0
wrecking-ball,americas,diamond,5.3,49.2,10.8
wuyang,americas,diamond,7.8,52.3,0.1
zarya,americas,diamond,6.4,49.3,26.0
zenyatta,americas,diamond,11.1,52.9,3.9
ana,americas,master,37.3,49.2,9.8
anran,americas,master,3.9,49.5,2.8
ashe,americas,master,9.5,52.1,0.6
baptiste,americas,master,6.0,47.1,0.0
bastion,americas,master,6.2,47.7,2.4
brigitte,americas,master,8.6,50.2,0.4
cassidy,americas,master,26.3,46.4,17.7
dmon,americas,master,14.5,53.6,19.9
domina,americas,master,2.0,51.8,0.3
doomfist,americas,master,10.8,49.6,13.3
dva,americas,master,5.0,46.4,9.2
echo,americas,master,5.2,51.3,0.3
emre,americas,master,6.6,48.4,0.1
freja,americas,master,6.3,50.7,60.6
genji,americas,master,15.6,51.2,1.8
hanzo,americas,master,5.1,48.8,0.6
hazard,americas,master,6.3,52.1,8.6
illari,americas,master,4.1,50.8,0.1
jetpack-cat,americas,master,9.0,54.0,62.7
junker-queen,americas,master,4.8,53.7,0.4
junkrat,americas,master,3.6,52.3,0.5
juno,americas,master,20.8,51.0,0.2
kiriko,americas,master,46.0,47.8,11.1
lifeweaver,americas,master,6.1,48.6,0.3
lucio,americas,master,8.7,50.9,0.6
mauga,americas,master,5.5,49.8,45.0
mei,americas,master,4.4,48.6,0.7
mercy,americas,master,12.6,50.4,8.0
mizuki,americas,master,11.0,47.7,17.5
moira,americas,master,11.7,49.2,0.6
orisa,americas,master,6.3,46.8,4.3
pharah,americas,master,4.5,54.7,2.9
ramattra,americas,master,4.1,46.5,2.9
reaper,americas,master,9.6,50.7,1.9
reinhardt,americas,master,6.7,50.1,1.6
roadhog,americas,master,6.2,47.4,21.6
shion,americas,master,15.5,50.1,0.9
sierra,americas,master,1.9,42.5,0.4
sigma,americas,master,7.7,48.0,5.5
sojourn,americas,master,20.5,46.7,1.9
soldier-76,americas,master,14.5,51.1,0.5
sombra,americas,master,3.1,48.6,1.0
symmetra,americas,master,2.1,52.4,0.6
torbjorn,americas,master,4.1,49.6,0.2
tracer,americas,master,20.7,51.1,11.8
vendetta,americas,master,2.8,51.6,0.5
venture,americas,master,2.4,52.9,0.4
widowmaker,americas,master,5.8,50.2,9.0
winston,americas,master,7.1,49.5,1.0
wrecking-ball,americas,master,5.8,47.1,6.0
wuyang,americas,master,9.0,51.3,0.1
zarya,americas,master,7.2,50.8,22.1
zenyatta,americas,master,9.2,51.8,2.7
ana,americas,grandmaster,34.7,50.3,11.0
anran,americas,grandmaster,2.4,52.4,0.3
ashe,americas,grandmaster,7.3,52.8,0.2
baptiste,americas,grandmaster,4.8,48.4,0.1
bastion,americas,grandmaster,5.6,49.4,1.5
brigitte,americas,grandmaster,7.9,48.6,0.4
